dl_id	dl_stem1	dl_stem2	dl_stem3	dl_stem4	dl_pos	dl_type	dl_variant	dl_gender	dl_comparison	dl_kind	dl_aux_case	dl_age	dl_area	dl_geography	dl_frequency	dl_source	dl_senses
5497	audi	    aud	        audiv	    audit	    V	    3       4           X	        3	            4	    X		    X	    X	    X	            A	            O	        hear
26248	mon	        mon	        monu	    monit	    V	    2       1           X	        2	            1		X		    X	    X	    X	            A	            X	        remind
29952	port	    port	    portav	    portat	    V	    1       1           X	        1	            1	    X		    X	    X	    X	            A	            X	        carry
36336	trah	    trah	    trax	    tract	    V	    3       1           X	        3	            1		X		    X	    X	    X	            A	            X	        drag
